== real covers, P+R in 1..=8 (ns/code, best of 3) ==
   P,R  coverage    rows  a1t_rows b1t_codes   c4p_512  c4po_512   c4t_512  r2g_2cmp   r2g_sub   r6g_256   r6g_512
   1,2  0.007832   84902     1.527     1.166     4.397     0.944     1.364     0.532     0.525     0.526     0.513  clickbench-url-1m-gen1-s42.contains.L32.s1e-1.r2
   2,1  0.012864  139515     1.497     1.204     4.031     0.885     1.196     0.450     0.436     0.464     0.455  clickbench-url-1m-gen1-s42.contains.L16.s1e-1.r1
   1,2  0.012994  140839     1.495     1.200     4.429     0.958     1.270     0.450     0.460     0.472     0.465  clickbench-url-1m-gen1-s42.contains.L8.s1e-1.r1
   2,1  0.028406  307550     1.264     1.649     4.694     1.425     1.993     0.732     0.711     0.641     0.715  clickbench-url-1m-gen1-s42.contains.L32.s0.3.r0
   0,3  0.040396  401060     1.361     1.670     5.328     1.817     2.611     0.764     0.774     0.697     0.719  clickbench-url-1m-gen1-s42.contains.L16.s0.3.r4
   2,2  0.000036     386     1.622     0.985     4.205     0.518     0.534     0.265     0.240     0.262     0.243  clickbench-url-1m-gen1-s42.contains.L16.s1e-4.r0
   3,1  0.000359    3757     1.567     1.001     4.162     0.661     0.736     0.285     0.293     0.309     0.319  clickbench-url-1m-gen1-s42.contains.L16.s1e-3.r0
   1,3  0.001502   16091     1.554     1.037     4.966     0.850     1.089     0.349     0.306     0.333     0.367  clickbench-url-1m-gen1-s42.contains.L4.s1e-2.r1
   3,1  0.006447   69888     1.401     1.115     4.211     0.804     1.002     0.349     0.383     0.378     0.398  clickbench-url-1m-gen1-s42.contains.L8.s1e-1.r3
   1,3  0.008367   85869     1.395     1.139     5.126     1.072     1.476     0.446     0.421     0.413     0.429  clickbench-url-1m-gen1-s42.contains.L4.s1e-1.r3
   3,1  0.013065  141697     1.481     1.198     4.454     0.980     1.280     0.447     0.436     0.436     0.459  clickbench-url-1m-gen1-s42.contains.L8.s1e-1.r4
   2,2  0.031059  336043     1.180     1.533     5.099     1.487     1.754     0.661     0.646     0.603     0.622  clickbench-url-1m-gen1-s42.contains.L16.s0.3.r3
   5,0  0.000162    1545     1.577     1.007     4.237     0.647     0.662     0.313     0.300     0.326     0.344  clickbench-url-1m-gen1-s42.contains.L4.s0.r1
   4,1  0.006608   69830     1.423     1.164     4.300     0.987     1.092     0.419     0.403     0.429     0.468  clickbench-url-1m-gen1-s42.contains.L4.s1e-1.r0
   4,1  0.008898   96500     1.588     1.232     4.259     1.187     1.442     0.576     0.572     0.573     0.568  clickbench-url-1m-gen1-s42.contains.L16.s1e-1.r0
